recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
moms chicken cacciatore,6,0.586153846,0.5,0.566666667,0.17625,0.17171428600000002,0.09633333300000001,0.08,0.938,0.095238095,0.1154,0.38333333299999994,0.04,0.222222222,0.0,1.35,0.5,0.1475,0.1975,670,-2.375893119,4.354501474,0.6911706209999999
moms corny pork chops,9,0.390769231,0.35,0.256666667,0.166666667,0.188857143,0.078333333,0.068,0.622,0.126984127,0.0194,0.11666666699999999,0.032,0.055555556,0.666666667,0.65,0.5,0.125,0.16,438,-1.819443972,3.9229527710000003,0.866852269
moms dill potato salad,3,0.273846154,0.2,0.043333332999999995,0.055416667,0.162857143,0.066333333,0.084,0.06,0.031746032,0.0466,0.18333333300000001,0.042,0.055555556,0.0,0.1,0.0,0.075,0.065,245,-2.459272775,4.5051762580000005,0.9085609509999999
moms easy creamed chipped beef on toast,8,0.270769231,0.5,0.21,0.44208333299999997,0.124285714,0.14,0.06,0.376,0.28571428600000004,0.1286,0.0,0.262,0.166666667,0.0,0.25,0.0,0.1,0.2125,402,-6.4809402679999994,4.347603493,0.961014725
moms easy pea salad,3,0.18,0.2,0.09,0.322083333,0.042857143,0.045666667,0.136,0.138,0.19047619,0.1736,0.25,0.21899999999999997,0.055555556,0.0,0.05,0.0,0.035,0.0875,184,-3.182531201,4.275282287,0.6770111959999999
moms gourmet grilled cheese sandwich,4,0.493846154,1.0,0.303333333,0.45041666700000005,0.042571429,0.09733333300000001,0.048,0.426,0.063492063,0.1866,0.0,0.442,0.111111111,0.0,0.35,0.0,0.08,0.205,488,-10.79342097,4.355278203999999,0.543004025
moms legendary stuffed hamburgers,4,0.9476923079999999,1.2,0.63,0.50625,0.20571428600000002,0.092,0.068,0.9640000000000001,0.126984127,0.0022,0.033333333,0.099,0.333333333,0.0,1.15,0.5,0.1375,0.175,874,-11.49537947,4.503982328,0.999999558
moms meatloaf,4,0.332307692,0.4,0.55,0.357916667,0.145142857,0.049666667000000005,0.036000000000000004,0.6859999999999999,0.19047619,0.064,0.11666666699999999,0.037000000000000005,0.222222222,0.0,0.65,0.0,0.085,0.0875,395,-2.99889082,4.147189668999999,0.7030246109999999
moms mozzarella chicken for drew,4,0.167692308,0.2,0.29,0.57375,0.371714286,0.086,0.2,0.7659999999999999,0.507936508,0.2324,0.41666666700000005,0.3,0.166666667,0.0,1.2,0.5,0.24,0.085,362,-1.5623955790000001,4.043088417,0.911828185
moms new years pigs feet,4,0.429230769,0.35,0.593333333,0.67875,0.190571429,0.049666667000000005,0.184,0.78,0.158730159,0.5834,0.233333333,0.122,0.166666667,0.0,0.15,0.0,0.11,0.1825,459,-4.100827625,3.8902196539999996,0.610383094
moms shredded elk sandwiches,4,0.095384615,0.1,0.276666667,0.42791666700000003,0.17114285699999998,0.11966666699999999,0.06,0.778,0.380952381,0.0678,0.11666666699999999,0.084,0.333333333,0.0,0.65,0.0,0.1125,0.1375,361,0.090903369,3.960178574,0.8145273409999999
moms stovetop pork ribs,9,0.492307692,0.6,0.41666666700000005,0.5529166670000001,0.20285714300000002,0.035666667,0.136,0.67,0.031746032,0.8062,1.233333333,0.157,0.333333333,0.0,0.7,0.5,0.16,0.2125,461,-5.963957989,4.5909661239999995,0.605624642
moms stuffing pork chops,9,0.238461538,0.3,0.223333333,0.310416667,0.129428571,0.044666667,0.036000000000000004,0.488,0.063492063,0.036000000000000004,0.033333333,0.043,0.055555556,0.666666667,0.55,0.0,0.0825,0.0875,291,-2.217598847,4.303955206,0.5524572289999999
moms texas chicken,6,0.210769231,0.1,0.42666666700000005,0.28125,0.058285714,0.032666667,0.012,0.364,0.031746032,0.0394,0.033333333,0.026000000000000002,0.111111111,0.0,0.6,0.0,0.0575,0.115,238,-1.159677572,4.136196562,0.995957908
mongolian beef i,8,0.136923077,0.1,0.06,0.202083333,0.094,0.028666667000000003,0.076,0.214,0.095238095,1.0962,0.15,0.043,0.111111111,0.0,0.2,0.0,0.0625,0.08,155,-0.818075523,4.396979577,0.803950389
monkey meat,2,0.37076923100000003,0.35,0.41333333299999997,0.34166666700000003,0.23428571399999998,0.025,0.092,0.866,0.095238095,0.3624,0.5,0.048,0.333333333,0.0,0.7,0.5,0.1475,0.0775,424,-0.961495312,4.03290174,0.5780657889999999
monte cristo hotdog,4,0.532307692,0.9,0.26666666699999997,0.35625,0.038857143,0.168666667,0.036000000000000004,0.33799999999999997,0.920634921,0.11800000000000001,0.0,0.293,0.111111111,0.0,0.3,0.0,0.065,0.13,578,-11.33622301,4.3418285889999995,0.998465362
monte cristo sandwich,4,0.52,0.7,0.9933333329999999,0.545,0.19,0.110333333,0.048,0.9740000000000001,0.28571428600000004,0.1444,0.333333333,0.48700000000000004,0.222222222,0.666666667,0.9,0.5,0.1625,0.23,641,-6.660275639,4.336535232,0.999779403
monte cristo sandwiches,4,0.333846154,0.55,0.566666667,0.6679166670000001,0.09828571400000001,0.121333333,0.084,0.6679999999999999,0.158730159,0.0976,0.05,0.514,0.166666667,0.666666667,0.5,0.0,0.1125,0.2375,474,-6.813827487999999,3.9160200169999997,0.7169128020000001
monterey chicken,4,0.576923077,0.75,0.46666666700000003,1.169583333,0.24600000000000002,0.091666667,0.052000000000000005,0.9279999999999999,0.761904762,0.0938,0.5166666670000001,0.245,0.111111111,0.0,1.3,0.5,0.1375,0.0575,642,-10.95002868,4.507948824,0.999999992
monterey spaghetti,4,0.39846153799999995,0.7,0.253333333,0.169166667,0.068857143,0.060333332999999996,0.06,0.322,0.031746032,0.9432,0.033333333,0.429,0.111111111,0.0,0.25,0.0,0.125,0.2475,369,-6.409112716,4.150294562,0.61121579
moo goo gai pan,4,0.22,0.15,0.286666667,0.4125,0.228571429,0.10300000000000001,0.332,0.8340000000000001,0.28571428600000004,0.0794,0.916666667,0.07200000000000001,0.27777777800000003,0.0,1.15,0.5,0.16,0.265,409,0.274779895,4.151194022,0.450959558
moong dal,4,0.036923077,0.0,0.0,0.273333333,0.104285714,0.068,0.28800000000000003,0.146,0.063492063,0.051,0.083333333,0.027000000000000003,0.111111111,0.0,0.1,0.0,0.0875,0.1425,127,-0.44332888,4.252897759,0.999999965
