recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
als baked swiss steak,0.307692308,0.25,0.153333333,0.32375,0.175428571,0.052666667,0.108,0.372,0.19047619,0.6188,0.6,0.113,0.166666667,0,0.3,0,0.0975,0.0825,313,-2.803051844,4.551317345,0.884359561
als rum chicken,0.347692308,0.3,0.48,0.162916667,0.203714286,0.131,0.068,0.956,0.634920635,0.0584,0.216666667,0.057,0.166666667,0,1.6,0.5,0.2025,0.0425,685,-0.300268959,4.420379977,0.818697229
always a winner grilled chicken,0.155384615,0.1,0.223333333,0.274583333,0.098571429,0.059333333,0.068,0.508,0.412698413,0.2388,0.183333333,0.034,0.111111111,0,0.8,0.5,0.0875,0.03,275,-0.248713944,4.083735107,0.800536098
always juicy baked ham,0.646153846,0.75,0.423333333,1.234583333,0.203428571,0.01,0,0.842,0.063492063,0,1.316666667,0.018,0.111111111,0.666666667,0.9,0.5,0.09,0.01,576,-10.86957533,4.466969688,0.999999991
alysias basic meat lasagna,0.483076923,0.7,0.433333333,0.392916667,0.118,0.118666667,0.124,0.722,0.317460317,0.249,0.25,0.554,0.222222222,0,0.5,0,0.115,0.165,567,-6.474089953,4.213253443,0.722844923
amatriciana,0.115384615,0.1,0.04,0.2925,0.206571429,0.325333333,0.252,0.43,0.380952381,0.0892,0.3,0.128,0.333333333,0,0.5,0,0.21,0.6,529,-2.587230696,4.324508857,0.99978025
amazing calavacita and pork,0.186153846,0.15,0.133333333,0.265416667,0.202571429,0.164666667,0.18,0.432,0.19047619,0.0536,0.383333333,0.122,0.222222222,0.666666667,0.55,0.5,0.14,0.32,388,-1.697133435,4.165214387,0.718588987
amazing chicken,0.426153846,0.2,0.26,0.447916667,0.058857143,0.136333333,0.08,0.656,0.063492063,0.0188,0,0.094,0.222222222,0,0.8,0.5,0.0575,0.0125,548,-2.640188677,4.33928073,0.949386649
amazing crusted chicken,0.743076923,0.65,0.25,0.530833333,0.11,0.186333333,0.072,0.646,0.031746032,0.0242,0.033333333,0.11,0.222222222,0,1.1,0.5,0.1425,0.1975,806,-8.545625663,4.466756813,0.717146479
amazing fried pork chops,0.384615385,0.35,0.536666667,1.069166667,0.169714286,0.125,0.096,0.714,0.158730159,0.1318,0.05,0.208,0.222222222,0.666666667,0.55,0.5,0.105,0.0675,519,-7.464639617,4.196899149,0.857600975
amazing italian lemon butter chicken,0.690769231,1.25,0.516666667,0.275,0.111714286,0.124666667,0.116,0.536,0.063492063,0.303,0.216666667,0.041,0.111111111,0,0.75,0,0.11,0.2475,660,-12.28041697,4.220811606,0.97908522
amazing mexican quinoa salad,0.347692308,0.15,0,0.221666667,0.077714286,0.141333333,0.344,0.182,0.095238095,0.1808,0.366666667,0.047,0.111111111,0,0.1,0,0.085,0.14,397,-2.862707737,4.348843392,0.999996951
amazing pork tenderloin in the slow cooker,0.056923077,0.05,0.216666667,0.3825,0.128571429,0.019333333,0.02,0.49,0.031746032,0.0004,0.033333333,0.029,0.111111111,0.666666667,0.55,0.5,0.0875,0.005,180,0.340948748,4.542305088,0.992728538
amazing ribs,0.455384615,0.55,0.39,0.430833333,0.139428571,0.112333333,0.02,0.49,0.698412698,0.048,0.016666667,0.055,0.111111111,0,0.45,0,0.0775,0.0125,524,-7.133751073,4.435218668,0.539178283
amazing spicy grilled shrimp,0.350769231,0.15,0.766666667,0.344583333,0.077142857,0.013666667,0.012,0.502,0.031746032,0.1006,0.233333333,0.058,0.222222222,0,0.15,0,0.11,0.025,320,-1.841388295,4.631305528,0.97845147
amazingly good and healthy tuna salad,0.089230769,0.05,0.08,0.1425,0.158571429,0.085,0.14,0.364,0.571428571,1.1578,0.333333333,0.077,0.277777778,0,0.6,0,0.1775,0.3125,217,0.250891336,4.116458157,0.965678409
ambers penne alla vodka,0.449230769,0.75,0.273333333,0.20875,0.262,0.196333333,0.224,0.244,0.349206349,0.4584,0.45,0.118,0.222222222,0,0.3,0,0.175,0.0725,560,-9.013909125,4.393405524,0.788730137
ambers sesame chicken,0.3,0.15,0.273333333,0.135416667,0.144857143,0.092333333,0.104,0.756,0.222222222,0.0572,0.216666667,0.147,0.222222222,0,1.25,0.5,0.235,0.15,438,1.042025964,4.454061404,0.931643077
ambrosian chicken,0.170769231,0.35,0.283333333,0.140833333,0.159428571,0.143333333,0.08,0.786,0.666666667,0.018,0.033333333,0.243,0.055555556,0,0.75,0,0.14,0.045,408,-0.887230007,3.928692084,0.721352162
american chop suey,0.192307692,0.25,0.153333333,0.235416667,0.118857143,0.069,0.164,0.26,0.063492063,0.103,0.15,0.044,0.166666667,0,0.35,0,0.0625,0.0425,249,-2.53412214,3.773245893,0.669658703
american chop suey ii,0.338461538,0.4,0.226666667,0.310416667,0.207142857,0.283666667,0.148,0.6,0.380952381,0.1356,1.1,0.045,0.333333333,0.666666667,0.9,0,0.1825,0.595,664,-4.957255428,4.58930254,0.525173221
american gyros,0.273846154,0.35,0.24,0.22875,0.076,0.011333333,0.028,0.386,0.031746032,0.0398,0.033333333,0.032,0.111111111,0,0.4,0,0.0525,0.04,255,-2.602184324,3.97127872,0.947481059
american style red beans and rice,0.078461538,0.05,0,0.296666667,0.128285714,0.337,0.396,0.294,0.126984127,0.0756,0.116666667,0.094,0.388888889,0.666666667,0.35,0,0.1375,0.44,511,-2.562141128,4.157788084,1
american turkey tacos,0.741538462,0.8,0.443333333,0.350416667,0.319428571,0.144,0.4,0.756,0.126984127,0.168,0.216666667,0.369,0.222222222,0,0.7,0.5,0.2725,0.33,738,-7.47518434,3.91010218,0.999997655
amish yumazuti,0.253846154,0.3,0.32,0.239166667,0.128285714,0.153,0.112,0.45,0.126984127,0.0696,0.133333333,0.099,0.277777778,0,0.55,0,0.1375,0.3325,422,-3.102327348,4.610938775,0.914890965
amys asparagus casserole,0.304615385,0.5,0.103333333,0.359166667,0.081142857,0.04,0.076,0.292,0.095238095,0.2208,0.083333333,0.372,0.166666667,0,0.2,0,0.07,0.1325,281,-5.404445437,4.341922031,0.592277247
amys creamy black bean corn salsa,0.069230769,0.05,0.013333333,0.08375,0.049714286,0.032333333,0.108,0.052,0.031746032,0.095,0.333333333,0.023,0.055555556,0,0.05,0,0.04,0.0725,86,-0.320147267,4.125,0.998556378
amys garlic egg chicken,0.438461538,0.8,0.606666667,0.650833333,0.104,0.082,0.08,0.75,0.063492063,0.1474,0.05,0.316,0.166666667,0,1,0.5,0.1225,0.105,508,-8.325380612,4.403445585,0.832425873
amys spicy beans and rice,0.066153846,0.1,0.033333333,0.0475,0.027428571,0.037333333,0.064,0.074,0,0.1194,0.066666667,0.087,0.055555556,0,0.05,0,0.065,0.025,96,-0.481329472,4.332434479,0.995167442
anchovy linguine,0.267692308,0.15,0.063333333,0.345833333,0.079142857,0.183666667,0.104,0.332,0.095238095,0.0228,0.033333333,0.073,0.166666667,0,0.5,0,0.13,0.3825,438,-3.215294697,4.252472247,0.612693785
andouille and chicken creole pasta,0.206153846,0.2,0.12,0.44125,0.139142857,0.171666667,0.132,0.432,0.158730159,0.1596,0.566666667,0.065,0.111111111,0,0.55,0,0.125,0.33,410,-3.350583881,4.43717602,0.818440251
andouille sausage,0.704615385,0.8,0.24,0.261666667,0.083714286,0.002333333,0.008,0.312,0,0.0388,0.016666667,0.019,0.055555556,0.666666667,0.35,0,0.045,0.0125,482,-8.493985444,4.017029279,0.984448696
andreas broccoli slaw,0.135384615,0.1,0.03,0.15125,0.118285714,0.085,0.16,0.076,0.53968254,0.7522,0.85,0.096,0.055555556,0,0.05,0,0.06,0.1475,183,-2.035564969,4.108781823,0.999971243
andrews favorite grilled pork chops,0.349230769,0.25,0.356666667,0.32375,0.208,0.029666667,0.02,0.85,0.19047619,0.0414,0.533333333,0.024,0.111111111,0.666666667,1.05,0.5,0.14,0.0675,417,-0.177033332,4.302612086,0.51867181
